일자,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
2022-06-24,31285,645,2.11,31268.47,30800,31410,30700,10451953,3.26E+11,4.94E+12,5.07E+12,157900000,코스피 200,312.07,6.62,2.17
2022-06-27,31685,400,1.28,31681.63,31520,31930,31235,8572714,2.72E+11,5.14E+12,5.26E+12,162150000,코스피 200,316.2,4.13,1.32
2022-06-28,31930,245,0.77,31972.52,31725,31930,31560,6746503,2.15E+11,5.30E+12,5.39E+12,165950000,코스피 200,319.11,2.91,0.92
2022-06-29,31395,535,-1.68,31457.14,31555,31655,31365,6177527,1.94E+11,5.30E+12,5.33E+12,168700000,코스피 200,312.86,6.25,-1.96
2022-06-30,30875,520,-1.66,30890.1,31280,31280,30870,7940411,2.46E+11,5.23E+12,5.25E+12,169300000,코스피 200,307.2,5.66,-1.81
2022-07-01,30560,315,-1.02,30571.9,31050,31175,30335,6240988,1.91E+11,5.19E+12,5.05E+12,169800000,코스피 200,304.02,3.18,-1.04
2022-07-04,30570,10,0.03,30570.51,30570,30750,30265,8932236,2.73E+11,5.05E+12,5.01E+12,165250000,코스피 200,304.01,0.01,0
2022-07-05,31055,485,1.59,31072.94,30855,31165,30715,7245145,2.25E+11,5.09E+12,5.12E+12,163950000,코스피 200,309.03,5.02,1.65
2022-07-06,30350,705,-2.27,30396.43,30810,30925,30325,9116536,2.78E+11,5.00E+12,5.01E+12,164850000,코스피 200,302.28,6.75,-2.18
2022-07-07,30960,610,2.01,30999.54,30590,31145,30525,6746537,2.08E+11,5.10E+12,5.15E+12,164850000,코스피 200,308.31,6.03,1.99
2022-07-08,31130,170,0.55,31183.95,31185,31435,31130,8836853,2.76E+11,5.17E+12,5.24E+12,166100000,코스피 200,310.15,1.84,0.6
2022-07-11,30955,175,-0.56,30997.01,31200,31325,30925,6570561,2.04E+11,5.20E+12,5.20E+12,168000000,코스피 200,308.29,1.86,-0.6
2022-07-12,30660,295,-0.95,30670.15,30830,30900,30495,5551637,1.70E+11,5.15E+12,5.19E+12,167850000,코스피 200,305.03,3.26,-1.06
2022-07-13,30820,160,0.52,30825.97,30735,31030,30660,6840518,2.11E+11,5.22E+12,5.27E+12,169350000,코스피 200,306.59,1.56,0.51
2022-07-14,30710,110,-0.36,30702.06,30590,30935,30500,5896627,1.81E+11,5.25E+12,5.15E+12,171000000,코스피 200,305.35,1.24,-0.4
2022-07-15,30895,185,0.6,30957.54,30900,30935,30335,7255044,2.23E+11,5.18E+12,5.19E+12,167600000,코스피 200,307.91,2.56,0.84
2022-07-18,31580,685,2.22,31654.81,31205,31615,31160,7193533,2.27E+11,5.29E+12,5.25E+12,167600000,코스피 200,314.87,6.96,2.26
2022-07-19,31475,105,-0.33,31554.67,31455,31500,31290,4685922,1.47E+11,5.22E+12,5.13E+12,165850000,코스피 200,313.9,0.97,-0.31
2022-07-20,31710,235,0.75,31765.97,31985,32065,31650,6810248,2.17E+11,5.15E+12,5.18E+12,162500000,코스피 200,316.02,2.12,0.68
2022-07-21,32055,345,1.09,32132.85,31755,32075,31720,5550883,1.78E+11,5.22E+12,5.20E+12,163000000,코스피 200,319.68,3.66,1.16
2022-07-22,31855,200,-0.62,31897.89,31985,32190,31815,6243090,1.99E+11,5.16E+12,5.11E+12,161850000,코스피 200,317.33,2.35,-0.74
2022-07-25,31980,125,0.39,32000.49,31750,32135,31725,4950143,1.58E+11,5.12E+12,5.18E+12,160150000,코스피 200,318.34,1.01,0.32
2022-07-26,32095,115,0.36,32128.36,31870,32115,31810,2281501,72973254050,5.20E+12,0,161900000,코스피 200,319.39,1.05,0.33
